data,acquired_by_app_immuni,acquired_by_app_immuni_total,acquired_by_web_ts,acquired_by_web_ts_total,acquired_by_web_id,acquired_by_web_id_total,acquired_by_web_spid,acquired_by_web_spid_total,acquired_by_operator_ts,acquired_by_operator_ts_total,acquired_by_operator_id,acquired_by_operator_id_total,acquired_by_app_io,acquired_by_app_io_total,acquired_all,acquired_all_total
2021-08-05,158056,3577392,724064,19440293,1752,20373,482302,6687296,151302,5017110,3876,47487,1096538,34338866,2617890,69128817
2021-08-04,109090,3419336,524362,18716229,1177,18621,380188,6204994,110636,4865808,3108,43611,868854,33242328,1997415,66510927
2021-08-03,101541,3310246,480369,18191867,858,17444,348258,5824806,98646,4755172,2278,40503,809522,32373474,1841472,64513512
2021-08-02,79539,3208705,418333,17711498,1068,16586,352657,5476548,84244,4656526,2562,38225,644888,31563952,1583291,62672040
2021-08-01,77927,3129166,337228,17293165,688,15518,27614,5123891,66501,4572282,817,35663,577003,30919064,1087778,61088749
2021-07-31,77300,3051239,323728,16955937,1133,14830,194757,5096277,72421,4505781,2826,34846,662352,30342061,1334517,60000971
2021-07-30,72518,2973939,357651,16632209,1187,13697,345172,4901520,93957,4433360,3330,32020,726093,29679709,1599908,58666454
2021-07-29,73324,2901421,377693,16274558,980,12510,374864,4556348,106472,4339403,2346,28690,787832,28953616,1723511,57066546
2021-07-28,76582,2828097,392404,15896865,774,11530,422994,4181484,116040,4232931,1823,26344,809399,28165784,1820016,55343035
2021-07-27,86589,2751515,464721,15504461,741,10756,488731,3758490,131124,4116891,1664,24521,904629,27356385,2078199,53523019
2021-07-26,97911,2664926,571754,15039740,862,10015,552500,3269759,151797,3985767,1941,22857,944337,26451756,2321102,51444820
2021-07-25,90818,2567015,425365,14467986,284,9153,38798,2717259,111566,3833970,565,20916,814267,25507419,1481663,49123718
2021-07-24,111580,2476197,507599,14042621,773,8869,298822,2678461,133956,3722404,1949,20351,998279,24693152,2052958,47642055
2021-07-23,150094,2364617,761182,13535022,929,8096,480986,2379639,220808,3588448,2250,18402,1429170,23694873,3045419,45589097
2021-07-22,133363,2214523,633038,12773840,653,7167,291215,1898653,171301,3367640,1502,16152,1274508,22265703,2505580,42543678
2021-07-21,88591,2081160,491108,12140802,500,6514,221031,1607438,135498,3196339,1018,14650,921459,20991195,1859205,40038098
2021-07-20,71558,1992569,416713,11649694,408,6014,210257,1386407,116145,3060841,1030,13632,799302,20069736,1615413,38178893
2021-07-19,87700,1921011,500581,11232981,413,5606,207909,1176150,129489,2944696,1248,12602,843168,19270434,1770508,36563480
